source,title,company,location,url,date_posted
indeed/linkedin:indeed,"Werkstudent Medical Sensing, Kommunikation und Modellierung",,"Berlin, BE, DE",https://de.indeed.com/viewjob?jk=0f503e9e495763f4,2026-09-11
arbeitnow,Werkstudent Sales/Vertrieb - Vietnamesisch- & Deutschsprachig (m/f/d),Lalamove,Berlin,https://www.arbeitnow.com/jobs/companies/lalamove/werkstudent-sales-vertrieb-vietnamesisch-deutschsprachig-berlin-440204,2026-09-14
arbeitnow,Praktikum / Werkstudenten-Job in Hamburger Start-Up | Social Media & Creative Marketing (m/w/d),ZVS Visions GmbH,Hamburg,https://www.arbeitnow.com/jobs/companies/zvs-visions-gmbh/praktikum-werkstudenten-job-in-hamburger-start-up-social-media-creative-marketing-203281,2026-09-14
arbeitnow,Praktikum / Werkstudenten-Job in Hamburger Start-Up | Social Media & Creative Marketing (m/w/d),ZVS Visions GmbH,Hamburg,https://www.arbeitnow.com/jobs/companies/zvs-visions-gmbh/praktikum-werkstudenten-job-in-hamburger-start-up-social-media-creative-marketing-222351,2026-09-14
arbeitnow,Werkstudent:in Media Produktion & Set Assistant (m/w/d),Beilmann Marketing GmbH,Frankfurt am Main,https://www.arbeitnow.com/jobs/companies/beilmann-marketing-gmbh/werkstudentin-media-produktion-set-assistant-frankfurt-am-main-119911,2026-09-14
arbeitnow,Werkstudent Reservations (m/w/d),Ruby GmbH,Munich,https://www.arbeitnow.com/jobs/companies/ruby-gmbh/werkstudent-reservations-munich-44410,2026-09-14
arbeitnow,"Werkstudent*in (m/w/gn*) Informationssicherheit, Standort Dresden",TÜV TRUST IT Unternehmensgruppe TÜV AUSTRIA,Dresden,https://www.arbeitnow.com/jobs/companies/tuv-trust-it-unternehmensgruppe-tuv-austria/werkstudentin-n-informationssicherheit-standort-dresden-263898,2026-09-14
arbeitnow,Werkstudent Recruiting und Employer Branding (m/w/d),Ifürel EMSR-Technik GmbH & Co. KG,Herne,https://www.arbeitnow.com/jobs/companies/ifurel-emsr-technik-gmbh-co-kg/werkstudent-recruiting-und-employer-branding-herne-2004,2026-09-14
arbeitnow,Werkstudent E-Mail Marketing Design (m/w/d),vivid,Frankfurt am Main,https://www.arbeitnow.com/jobs/companies/vivid/werkstudent-e-mail-marketing-design-frankfurt-am-main-235870,2026-09-14
arbeitnow,"Werkstudent im Bereich Innovation, New Business & Startups (all people)",Leipziger Foren Services GmbH,Leipzig,https://www.arbeitnow.com/jobs/companies/leipziger-foren-services-gmbh/werkstudent-im-bereich-innovation-new-business-startups-all-people-leipzig-475854,2026-09-14
